Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2024/8/4, 18:00:00, 5391.25, 5397.25, 5382.50, 5392.50, 15693, 11140, 7868, 7825
2024/8/4, 18:15:00, 5392.50, 5399.00, 5391.50, 5398.75, 6519, 4659, 2759, 3760
2024/8/4, 18:30:00, 5398.75, 5403.75, 5397.75, 5401.75, 4568, 3852, 2303, 2265
2024/8/4, 18:45:00, 5401.25, 5406.75, 5397.75, 5398.50, 3290, 2858, 1700, 1590
2024/8/4, 19:00:00, 5398.25, 5399.50, 5389.75, 5394.75, 4802, 4108, 2508, 2294
2024/8/4, 19:15:00, 5394.75, 5398.00, 5384.75, 5389.25, 4874, 4190, 2446, 2428
2024/8/4, 19:30:00, 5389.25, 5390.00, 5374.25, 5384.00, 10628, 8216, 5750, 4878
2024/8/4, 19:45:00, 5384.00, 5388.00, 5381.50, 5385.25, 6036, 4292, 3170, 2866
2024/8/4, 20:00:00, 5385.25, 5385.75, 5372.50, 5376.25, 12541, 7913, 7964, 4577
2024/8/4, 20:15:00, 5376.25, 5379.00, 5359.50, 5377.50, 18613, 13770, 10041, 8572
2024/8/4, 20:30:00, 5377.50, 5379.25, 5369.50, 5378.00, 7980, 6686, 3847, 4133
2024/8/4, 20:45:00, 5378.00, 5379.25, 5363.50, 5365.25, 9141, 8007, 4988, 4153
2024/8/4, 21:00:00, 5365.25, 5367.75, 5348.50, 5351.00, 16913, 12170, 10434, 6479
2024/8/4, 21:15:00, 5351.00, 5359.75, 5349.25, 5354.75, 9310, 8249, 4619, 4691
2024/8/4, 21:30:00, 5354.50, 5366.00, 5353.50, 5359.25, 9131, 7986, 4507, 4624
2024/8/4, 21:45:00, 5359.25, 5366.00, 5355.50, 5365.25, 5894, 5306, 2682, 3212
2024/8/4, 22:00:00, 5365.25, 5365.75, 5357.50, 5358.50, 6059, 4596, 3198, 2861
2024/8/4, 22:15:00, 5358.75, 5375.75, 5358.75, 5369.75, 7208, 6150, 3336, 3872
2024/8/4, 22:30:00, 5369.75, 5372.50, 5356.75, 5358.00, 6945, 5477, 3955, 2990
2024/8/4, 22:45:00, 5358.00, 5367.75, 5357.50, 5364.00, 4959, 3921, 2338, 2621
2024/8/4, 23:00:00, 5364.25, 5368.75, 5359.25, 5360.25, 4267, 3690, 2344, 1923
