Date, Time, Open, High, Low, Last, Volume, OpenInt, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, OI
2023-9-21, 00:00:00.000000, 89.30, 90.98, 88.37, 89.63, 766917, 1702357, 89.57, 89.66, 89.68, 0, 0, 1702357
2023-9-22, 00:00:00.000000, 89.62, 91.33, 89.31, 90.03, 1041400, 1747611, 90.07, 90.22, 90.32, 0, 0, 1747611
2023-9-25, 00:00:00.000000, 90.55, 90.83, 89.03, 89.68, 758140, 1743019, 90.02, 89.85, 89.93, 0, 0, 1743019
2023-9-26, 00:00:00.000000, 89.88, 90.74, 88.19, 90.39, 696980, 1750559, 89.80, 89.77, 89.46, 0, 0, 1750559
2023-9-27, 00:00:00.000000, 90.53, 94.17, 90.40, 93.68, 1312062, 1785182, 92.19, 92.75, 92.29, 0, 0, 1785182
2023-9-28, 00:00:00.000000, 93.78, 95.03, 91.39, 91.71, 1036849, 1776331, 92.98, 92.71, 93.21, 0, 0, 1776331
2023-9-29, 00:00:00.000000, 91.76, 93.10, 90.35, 90.79, 828230, 1774359, 91.50, 91.41, 91.72, 0, 0, 1774359
2023-10-2, 00:00:00.000000, 90.82, 91.88, 88.46, 88.82, 772400, 1770012, 90.00, 89.72, 90.17, 0, 0, 1770012
2023-10-3, 00:00:00.000000, 88.67, 90.27, 87.76, 89.23, 920197, 1787495, 88.98, 89.09, 89.01, 0, 0, 1787495
2023-10-4, 00:00:00.000000, 89.42, 89.59, 84.16, 84.22, 1025901, 1784065, 86.85, 85.99, 86.88, 0, 0, 1784065
2023-10-5, 00:00:00.000000, 84.45, 84.92, 82.15, 82.31, 1107099, 1796383, 83.46, 83.13, 83.54, 0, 0, 1796383
2023-10-6, 00:00:00.000000, 82.28, 83.28, 81.50, 82.79, 1106528, 1747129, 82.46, 82.52, 82.39, 0, 0, 1747129
2023-10-9, 00:00:00.000000, 85.25, 87.24, 84.67, 86.38, 1045860, 1726790, 85.88, 86.10, 85.96, 0, 0, 1726790
2023-10-10, 00:00:00.000000, 86.43, 86.74, 85.12, 85.97, 951073, 1753314, 86.07, 85.94, 85.93, 0, 0, 1753314
2023-10-11, 00:00:00.000000, 85.96, 86.51, 83.11, 83.49, 1160588, 1760570, 84.77, 84.37, 84.81, 0, 0, 1760570
2023-10-12, 00:00:00.000000, 83.20, 85.20, 82.31, 82.91, 1060997, 1717923, 83.40, 83.47, 83.75, 0, 0, 1717923
2023-10-13, 00:00:00.000000, 83.51, 87.83, 83.35, 87.69, 1054137, 1688923, 85.60, 86.29, 85.59, 0, 0, 1688923
2023-10-16, 00:00:00.000000, 87.72, 88.33, 86.32, 86.66, 656712, 1678852, 87.26, 87.10, 87.32, 0, 0, 1678852
2023-10-17, 00:00:00.000000, 87.06, 87.75, 85.60, 86.66, 670181, 1654168, 86.77, 86.67, 86.68, 0, 0, 1654168
2023-10-18, 00:00:00.000000, 86.41, 88.57, 86.25, 87.27, 785239, 1648577, 87.13, 87.36, 87.41, 0, 0, 1648577
2023-10-19, 00:00:00.000000, 87.22, 89.54, 85.44, 88.37, 836293, 1648103, 87.64, 87.78, 87.49, 0, 0, 1648103
2023-10-20, 00:00:00.000000, 89.09, 89.85, 87.53, 88.08, 626724, 1641488, 88.64, 88.49, 88.69, 0, 0, 1641488
2023-10-23, 00:00:00.000000, 88.00, 88.29, 85.35, 85.49, 590445, 1631088, 86.78, 86.38, 86.82, 0, 0, 1631088
2023-10-24, 00:00:00.000000, 86.15, 86.30, 82.94, 83.74, 818434, 1628044, 84.78, 84.33, 84.62, 0, 0, 1628044
2023-10-25, 00:00:00.000000, 83.69, 85.56, 82.08, 85.39, 881539, 1622665, 84.18, 84.34, 83.82, 0, 0, 1622665
2023-10-26, 00:00:00.000000, 85.37, 85.59, 82.56, 83.21, 697715, 1632941, 84.18, 83.79, 84.07, 0, 0, 1632941
2023-10-27, 00:00:00.000000, 83.53, 85.90, 83.10, 85.54, 629905, 1646258, 84.52, 84.85, 84.50, 0, 0, 1646258
2023-10-30, 00:00:00.000000, 85.00, 85.30, 81.82, 82.31, 720900, 1670588, 83.61, 83.14, 83.56, 0, 0, 1670588
2023-10-31, 00:00:00.000000, 82.59, 83.37, 80.74, 81.02, 732326, 1671255, 81.93, 81.71, 82.06, 0, 0, 1671255
2023-11-1, 00:00:00.000000, 81.48, 83.42, 80.30, 80.44, 738399, 1680549, 81.41, 81.39, 81.86, 0, 0, 1680549
2023-11-2, 00:00:00.000000, 80.82, 82.83, 80.22, 82.46, 776595, 1675544, 81.58, 81.84, 81.53, 0, 0, 1675544
2023-11-3, 00:00:00.000000, 82.58, 83.60, 80.10, 80.51, 963284, 1691456, 81.70, 81.40, 81.85, 0, 0, 1691456
2023-11-6, 00:00:00.000000, 81.13, 82.24, 80.66, 80.82, 650379, 1689918, 81.21, 81.24, 81.45, 0, 0, 1689918
2023-11-7, 00:00:00.000000, 80.93, 81.05, 77.09, 77.37, 942721, 1688562, 79.11, 78.50, 79.07, 0, 0, 1688562
2023-11-8, 00:00:00.000000, 77.12, 77.53, 74.91, 75.33, 1052345, 1674065, 76.22, 75.92, 76.22, 0, 0, 1674065
2023-11-9, 00:00:00.000000, 75.65, 77.16, 75.21, 75.74, 800403, 1658816, 75.94, 76.04, 76.18, 0, 0, 1658816
2023-11-10, 00:00:00.000000, 75.59, 77.73, 75.31, 77.17, 668859, 1655570, 76.45, 76.74, 76.52, 0, 0, 1655570
2023-11-13, 00:00:00.000000, 77.15, 78.64, 76.21, 78.26, 621102, 1645459, 77.57, 77.70, 77.43, 0, 0, 1645459
2023-11-14, 00:00:00.000000, 78.53, 79.77, 77.79, 78.26, 678496, 1639133, 78.59, 78.61, 78.78, 0, 0, 1639133
2023-11-15, 00:00:00.000000, 78.17, 78.77, 76.31, 76.66, 864712, 1620876, 77.48, 77.25, 77.54, 0, 0, 1620876
2023-11-16, 00:00:00.000000, 76.60, 76.63, 72.16, 72.90, 1050643, 1602287, 74.57, 73.90, 74.40, 0, 0, 1602287
2023-11-17, 00:00:00.000000, 73.11, 76.19, 72.91, 76.04, 800649, 1559701, 74.56, 75.05, 74.55, 0, 0, 1559701
2023-11-20, 00:00:00.000000, 75.80, 78.46, 75.41, 77.83, 562867, 1541757, 76.88, 77.23, 76.93, 0, 0, 1541757
2023-11-21, 00:00:00.000000, 77.65, 77.92, 76.92, 77.77, 483113, 1549244, 77.57, 77.54, 77.42, 0, 0, 1549244
2023-11-22, 00:00:00.000000, 77.77, 77.97, 73.79, 77.10, 774983, 1558716, 76.66, 76.29, 75.88, 0, 0, 1558716
2023-11-24, 00:00:00.000000, 76.79, 77.09, 75.07, 75.54, 518146, 1565233, 76.12, 75.90, 76.08, 0, 0, 1565233
2023-11-27, 00:00:00.000000, 75.31, 76.23, 74.06, 74.86, 559611, 1569542, 75.12, 75.05, 75.15, 0, 0, 1569542
2023-11-28, 00:00:00.000000, 75.07, 77.02, 74.64, 76.41, 739929, 1563737, 75.79, 76.02, 75.83, 0, 0, 1563737
2023-11-29, 00:00:00.000000, 76.56, 78.09, 75.67, 77.86, 707111, 1584635, 77.04, 77.21, 76.88, 0, 0, 1584635
2023-11-30, 00:00:00.000000, 77.75, 79.60, 75.05, 75.96, 1371341, 1649235, 77.09, 76.87, 77.32, 0, 0, 1649235
2023-12-1, 00:00:00.000000, 75.59, 76.76, 73.93, 74.07, 814632, 1640920, 75.09, 74.92, 75.35, 0, 0, 1640920
2023-12-4, 00:00:00.000000, 74.58, 75.03, 72.63, 73.04, 949261, 1641322, 73.82, 73.57, 73.83, 0, 0, 1641322
2023-12-5, 00:00:00.000000, 73.30, 74.12, 72.02, 72.32, 862033, 1650437, 72.94, 72.82, 73.07, 0, 0, 1650437
2023-12-6, 00:00:00.000000, 72.10, 72.60, 69.11, 69.38, 1064089, 1672966, 70.80, 70.36, 70.85, 0, 0, 1672966
2023-12-7, 00:00:00.000000, 69.28, 70.48, 68.80, 69.34, 762671, 1659213, 69.48, 69.54, 69.64, 0, 0, 1659213
2023-12-8, 00:00:00.000000, 69.76, 71.63, 69.50, 71.23, 672911, 1644575, 70.53, 70.79, 70.57, 0, 0, 1644575
2023-12-11, 00:00:00.000000, 71.15, 71.81, 70.35, 71.32, 615596, 1642844, 71.16, 71.16, 71.08, 0, 0, 1642844
2023-12-12, 00:00:00.000000, 71.43, 71.96, 68.22, 68.61, 883323, 1650245, 70.06, 69.60, 70.09, 0, 0, 1650245
2023-12-13, 00:00:00.000000, 68.73, 69.89, 67.71, 69.47, 798123, 1651949, 68.95, 69.02, 68.80, 0, 0, 1651949
2023-12-14, 00:00:00.000000, 69.85, 72.46, 69.54, 71.58, 855935, 1604072, 70.86, 71.19, 71.00, 0, 0, 1604072
2023-12-15, 00:00:00.000000, 71.61, 72.22, 70.30, 71.43, 655144, 1595998, 71.39, 71.32, 71.26, 0, 0, 1595998
