Date, Time, Open, High, Low, Last, Volume, # of Trades, OHLC Avg, HLC Avg, HL Avg, Bid Volume, Ask Volume, Volume, Zero Line
2024-9-29, 18:00:00.000000, 5784.00, 5788.75, 5779.00, 5784.50, 3928, 2831, 5784.06, 5784.08, 5783.88, 2189, 1739, 0, 0
2024-9-29, 18:05:00.000000, 5784.50, 5789.50, 5784.25, 5788.75, 1241, 1002, 5786.75, 5787.50, 5786.88, 504, 737, 0, 0
2024-9-29, 18:10:00.000000, 5788.75, 5793.00, 5788.50, 5792.50, 1911, 1363, 5790.69, 5791.33, 5790.75, 755, 1156, 0, 0
2024-9-29, 18:15:00.000000, 5792.50, 5793.00, 5791.00, 5791.25, 565, 425, 5791.94, 5791.75, 5792.00, 310, 255, 0, 0
2024-9-29, 18:20:00.000000, 5791.25, 5792.25, 5790.25, 5791.50, 263, 214, 5791.31, 5791.33, 5791.25, 135, 128, 0, 0
2024-9-29, 18:25:00.000000, 5791.50, 5793.50, 5790.25, 5792.50, 551, 435, 5791.94, 5792.08, 5791.88, 289, 262, 0, 0
2024-9-29, 18:30:00.000000, 5792.50, 5793.75, 5792.00, 5793.00, 335, 299, 5792.81, 5792.92, 5792.88, 134, 201, 0, 0
2024-9-29, 18:35:00.000000, 5793.25, 5793.75, 5792.25, 5793.50, 411, 323, 5793.19, 5793.17, 5793.00, 167, 244, 0, 0
2024-9-29, 18:40:00.000000, 5793.25, 5793.75, 5792.75, 5793.50, 281, 206, 5793.31, 5793.33, 5793.25, 133, 148, 0, 0
2024-9-29, 18:45:00.000000, 5793.50, 5793.75, 5793.00, 5793.75, 351, 265, 5793.50, 5793.50, 5793.38, 103, 248, 0, 0
2024-9-29, 18:50:00.000000, 5793.75, 5793.75, 5793.25, 5793.50, 218, 167, 5793.56, 5793.50, 5793.50, 71, 147, 0, 0
2024-9-29, 18:55:00.000000, 5793.50, 5793.75, 5793.50, 5793.75, 507, 281, 5793.63, 5793.67, 5793.63, 50, 457, 0, 0
